Name,Phone,Email,Team Number
Dave Grisar,920-555-0101,dgrisar@example.com,1
Tyler Grisar,920-555-0102,tgrisar@example.com,1
Matt Esselmann,920-555-0103,messelmann@example.com,1
Guy Schultz,920-555-0201,gschultz@example.com,2
Kurt Zirtzlaff,920-555-0202,kzirtzlaff@example.com,2
Josh Hafemeister,920-555-0203,jhafemeister@example.com,2
Dustin Moder,920-555-0301,dmoder@example.com,3
Jacob Lewin,920-555-0302,jlewin@example.com,3
Patrick Fridholm,920-555-0303,pfridholm@example.com,3
Jesse Barron,920-555-0401,jbarron@example.com,4
Tom Dierringer,920-555-0402,tdierringer@example.com,4
Jack Mueller,920-555-0403,jmueller@example.com,4
Mark Speirs,920-555-0501,mspeirs@example.com,5
Brandon Speirs,920-555-0502,bspeirs@example.com,5
Steve Bohn,920-555-0503,sbohn@example.com,5
Dennis Haas,920-555-0601,dhaas@example.com,6
Terri Haas,920-555-0602,thaas@example.com,6
Ben Haas,920-555-0603,bhaas@example.com,6
Matt Streim,920-555-0701,mstreim@example.com,7
Derrick Malcore,920-555-0702,dmalcore@example.com,7
Christian Bilgo,920-555-0703,cbilgo@example.com,7
Tom Harwood,920-555-0801,tharwood@example.com,8
John Knepel Sr.,920-555-0802,jknepelsr@example.com,8
John Knepel Jr.,920-555-0803,jknepeljr@example.com,8
Ryan Krombach,920-555-0901,rkrombach@example.com,9
Andy Harrigan,920-555-0902,aharrigan@example.com,9
Mike Janz,920-555-0903,mjanz@example.com,9
Mike Cibulka,920-555-1001,mcibulka@example.com,10
Griff Rice,920-555-1002,grice@example.com,10
Greg Windel,920-555-1003,gwindel@example.com,10
Todd King,920-555-1101,tking@example.com,11
Mitch Henke,920-555-1102,mhenke@example.com,11
Steve Kletzien,920-555-1103,skletzien@example.com,11
Dick Buchholz,920-555-1201,dbuchholz@example.com,12
Bob Callies,920-555-1202,bcallies@example.com,12
Bob Butler,920-555-1203,bbutler@example.com,12
Ron Spieth,920-555-1301,rspieth@example.com,13
Kris King,920-555-1302,kking@example.com,13
Curt Hoffart,920-555-1303,choffart@example.com,13
David Haltner,920-555-1401,dhaltner@example.com,14
Jason Stoecker,920-555-1402,jstoecker@example.com,14
Randy Ziarek,920-555-1403,rziarek@example.com,14
Don Bublitz,920-555-1501,dbublitz@example.com,15
Jesse Seltrecht,920-555-1502,jseltrecht@example.com,15
Mike Herre,920-555-1503,mherre@example.com,15
Mike Newell,920-555-1601,mnewell@example.com,16
David Papke,920-555-1602,dpapke@example.com,16
Zyle Newell,920-555-1603,znewell@example.com,16
Andy Holtebeck,920-555-1701,aholtebeck@example.com,17
Kevin Friede,920-555-1702,kfriede@example.com,17
Dennis Heusdens,920-555-1703,dheusdens@example.com,17
Eric Schmelling,920-555-1801,eschmelling@example.com,18
Chuck Schmelling,920-555-1802,cschmelling@example.com,18
Ben Schmelling,920-555-1803,bschmelling@example.com,18
Neil Steffans,920-555-1901,nsteffans@example.com,19
Dale Mueller,920-555-1902,dmueller@example.com,19
Bill Akerett,920-555-1903,bakerett@example.com,19
Chris Wegner,920-555-2001,cwegner@example.com,20
Dave Grisar Jr.,920-555-2002,dgrisarjr@example.com,20
Paul Fischer,920-555-2101,pfischer@example.com,21
Brian Fischer,920-555-2102,bfischer@example.com,21
Jim Reinhart,920-555-2201,jreinhart@example.com,22
Scott Reinhart,920-555-2202,sreinhart@example.com,22
Pete Kowalski,920-555-2301,pkowalski@example.com,23
Adam Kowalski,920-555-2302,akowalski@example.com,23
Wayne Brandt,920-555-2501,,
Derek Brandt,920-555-2502,,
Sam Henrich,920-555-2503,shenrich@example.com,
Rich Keller,920-555-2601,,
Tim Keller,920-555-2602,tkeller@example.com,
Frank Novak,920-555-2701,fnovak@example.com,
Ted Novak,920-555-2702,,
